trial_number,validation_loss,dict_size,learning_rate
7,0.0002069979416608641,86,0.0003193621296640911
5,0.0007642580016346817,344,0.0033131001126896604
9,0.00040167507249861957,86,0.002339017798377193
2,0.00014475720408055085,172,0.00021626791619890333
1,0.0010317580255849118,172,0.0070001772218584515
8,6.546232881109145e-05,344,0.0003112737976268583
6,0.0013724410271441394,172,0.007205231602477275
0,7.937761401990428e-05,344,0.00014572176344137535
4,0.0001508637298353609,172,0.0008800143534477135
3,0.00012942634216001766,172,0.00021601280325376585
10,7.515899487771094e-05,344,0.00033297772930030475
11,0.000525151269341057,172,0.0034137430271392725
12,0.000381818243609318,172,0.002704069091277085
13,0.0011820554098283702,172,0.006554932780217798
14,0.00023097101260315288,86,0.0004816325184295246
15,0.0007947036329741505,86,0.006053384333811939
16,0.0001996743262597275,86,0.00039730203436559217
17,0.0005056978875390169,86,0.00012232418835359096
18,0.000524691895539449,86,0.0001370386386899128
19,0.00012233139132149516,344,0.0006357092761188583
20,0.0001294934512274763,344,0.0006970491974796386
21,0.0001166623215381564,344,0.0005596544231247636
22,0.00012065480920930647,344,0.0005189455014897998
23,0.00013113431698663836,344,0.0006246591875633741
24,0.00014624946594598111,344,0.0008401142395030009
25,0.0001142176607655446,344,0.0006627361520473678
26,0.00018795616858617657,344,0.0008642144925976389
27,0.00016098565141543406,344,0.0007828837183706823
28,0.00015252052306261084,344,0.000769739379284293
29,0.0002960053508021784,344,0.001417911541962268
30,0.00024393271702468733,344,0.0013360062865081053
31,6.595178896201436e-05,344,0.0002315419063018398
32,7.724574494535442e-05,344,0.00022105620151743758
33,0.00027994180828417567,344,0.0013357481665149148
34,8.033297609389675e-05,344,0.0002138117436304721
35,7.53739866592117e-05,344,0.00021061629830094723
36,7.267561489822005e-05,344,0.000225499051108005
37,0.0002608191626760262,344,0.0013178940459102216
38,0.0003746556737248532,344,0.0015359847181282997
39,9.075791590889408e-05,344,0.00019853747427073538
40,8.111881113357165e-05,344,0.00026682868036336475
41,7.410171813469127e-05,344,0.0001911503334333168
42,7.739917498177172e-05,344,0.00019394375549391618
43,6.740825450502929e-05,344,0.0002021541160293603
44,7.48476687559477e-05,344,0.0002693521943331842
45,9.498836311236532e-05,344,0.00028877447599787187
46,0.00010008943328020078,344,0.0003137170995521657
47,0.00010410524674543095,344,0.00028572143886835557
48,9.525694847318597e-05,344,0.00030846741819162346
49,9.792406066976995e-05,344,0.000386343749711455
